"country","cap_MW","sto_GWh"
"AL",611.8130000000001,0
"AT",6140.099859999995,5.5920000000000005
"BA",325,0.81
"BE",148.212,0
"BG",535.51,0
"CH",4198,0
"CZ",431.63,0
"DE",4731.8,0
"ES",3640,0.55
"FI",0,0
"FR",13600,0
"GR",382.9779659093641,0
"HR",424.8800000000001,4
"HU",55,0
"IE",216,0
"IT",6246.13,0
"LT",127.8,0
"LU",42,0
"LV",1608,16
"ME",78.853,0
"MK",267.50000109999996,0.14
"NL",37.7,0
"NO",0,0
"PL",518.26,0
"PT",793.133,6.4
"RO",3365.6323661165047,0
"RS",2096.570000000001,0
"SE",0,0
"SI",1277.7,3.45
"SK",1592.1815,11.76417963695
"TR",10716.137,0
"UA",13.62,0
"UK",2095.1166000000003,0
