country_name,Levnější povolenka,Dražší povolenka,swapped
Česko,-5.785,2.645,TRUE
Rakousko,1.46,-8.123,TRUE
Dánsko,-1.149,-2.665,FALSE
Švýcarsko,-6.172,-6.409,FALSE
Belgie,20.975,20.121,FALSE
Španělsko,5.066,4.34,FALSE
Severní Makedonie,2.605,1.32,FALSE
Norsko,-17.723,-17.712,FALSE
Rumunsko,-0.3,-7.453,FALSE
Černá Hora,0.989,1.458,FALSE
Slovensko,0.156,-1.139,TRUE
Portugalsko,1.293,1.286,FALSE
Bosna a Hercegovina,-0.113,5.032,TRUE
Polsko,0.709,26.257,FALSE
Irsko,2.987,3.069,FALSE
Bulharsko,-6.96,0.043,TRUE
Švédsko,-54.975,-63.364,FALSE
Nizozemsko,4.054,1.32,FALSE
Chorvatsko,-2.547,-6.186,FALSE
Srbsko,-1.514,17.219,TRUE
Finsko,9.377,7.77,FALSE
Maďarsko,14.06,14.054,FALSE
Litva,-0.277,-0.687,FALSE
Itálie,24.117,15.761,FALSE
Lucembursko,5.726,6.238,FALSE
Řecko,1.233,-7.329,TRUE
Francie,-79.639,-80.727,FALSE
Estonsko,3.413,3.409,FALSE
Německo,55.051,45.736,FALSE
Lotyšsko,4.666,4.568,FALSE
Slovinsko,0.99,0.84,FALSE
Spojené království,5.706,4.674,FALSE
